Time (Sec);S8;S1;S6;S7;S9;S14;S13;S12;S15;S5;S2;S3;S4;S21;S10;S17;S19;S18;S20;S16;S11;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
1.024333333333333;19159.802316800004;19159.802316800004;19159.731814400002;19159.802316800004;19159.802316800004;19159.665920000003;19159.802316800004;19159.802316800004;19159.802316800004;19159.665920000003;19159.731814400002;19159.665920000003;19159.802316800004;19160.0;19159.802316800004;19159.665920000003;19159.665920000003;19159.665920000003;19159.802316800004;19159.731814400002;19159.802316800004;
2.0043946666666663;19157.355008000042;19157.355008000042;19157.21861120004;19157.425510400044;19157.425510400044;19157.289113600043;19157.289113600043;19157.355008000042;19157.21861120004;19157.289113600043;19157.355008000042;19157.28450560004;19157.355008000042;19160.0;19157.28450560004;19157.355008000042;19157.355008000042;19157.355008000042;19157.28450560004;19157.355008000042;19157.355008000042;
3.0108506666666655;19154.44643840009;19154.44643840009;19154.44643840009;19154.51694080009;19154.51694080009;19154.44643840009;19154.451046400092;19154.51694080009;19154.44643840009;19154.44643840009;19154.375936000088;19154.375936000088;19154.375936000088;19160.0;19154.31004160009;19154.44643840009;19154.375936000088;19154.375936000088;19154.44643840009;19154.44643840009;19154.44643840009;
4.0143333333333295;19152.201420800127;19152.201420800127;19152.201420800127;19152.201420800127;19152.201420800127;19152.130918400126;19152.201420800127;19152.201420800127;19152.130918400126;19152.201420800127;19152.060416000124;19152.130918400126;19152.130918400126;19160.0;19152.060416000124;19152.130918400126;19152.060416000124;19152.130918400126;19152.130918400126;19152.201420800127;19152.201420800127;
5.007622666666662;19149.754112000166;19149.754112000166;19149.688217600167;19149.754112000166;19149.824614400168;19149.754112000166;19149.824614400168;19149.683609600164;19149.613107200163;19149.754112000166;19149.683609600164;19149.613107200163;19149.613107200163;19160.0;19149.613107200163;19149.754112000166;19149.683609600164;19149.683609600164;19149.754112000166;19149.754112000166;19149.824614400168;
6.0003946666666605;19147.24551680021;19147.104512000205;19147.24551680021;19147.24551680021;19147.24551680021;19147.104512000205;19147.175014400207;19147.034009600204;19147.034009600204;19147.24551680021;19147.175014400207;19147.104512000205;19147.104512000205;19160.0;19147.034009600204;19147.175014400207;19147.104512000205;19147.175014400207;19147.175014400207;19147.24551680021;19147.175014400207;
7.011227999999993;19145.066393600246;19144.85488640024;19144.929996800245;19145.066393600246;19144.925388800242;19144.925388800242;19144.995891200244;19144.78438400024;19144.85488640024;19144.995891200244;19144.85488640024;19144.925388800242;19144.85488640024;19160.0;19144.78438400024;19144.925388800242;19144.85488640024;19144.995891200244;19144.995891200244;19144.995891200244;19144.859494400243;
8.00851733333333;19142.487296000287;19142.346291200283;19142.487296000287;19142.416793600285;19142.209894400283;19142.346291200283;19142.416793600285;19142.27578880028;19142.27578880028;19142.487296000287;19142.346291200283;19142.346291200283;19142.27578880028;19160.0;19142.13939200028;19142.346291200283;19142.209894400283;19142.416793600285;19142.346291200283;19142.346291200283;19142.416793600285;
